claim,label_text,labels
13th district gop slate says new jerseys once-broken pension system is now solvent.,TRUE,0
18 percent american public says president obama is a muslim.,FALSE,1
18 percent american public says this is a test of the share the facts widget.,TRUE,0
60 plus association says an independent payment advisory board created by in the health care reform law is like a medicare irs with the power to cut medicare in order to pay for new government programs.,FALSE,1
60 plus association says the new health care law will cut $500 billion from medicare. that will hurt the quality of our care.,TRUE,0
60 plus association says u.s. sen. bill nelson was the deciding vote for the health care law.,TRUE,0
aarp says large phone companies and their trade association have hired 35 registered lobbyists to influence and pass sb 271 (deregulation legislation).,TRUE,0
abel collins says ripta has really some of the fullest buses for its transit agency size around the country.,TRUE,0
accountability government says jim frishe wanted to tax us for doing our taxes through an accountant.,TRUE,0
accountability project says former miami-dade mayor carlos alvarez and current mayoral candidate carlos gimenez both drove fancy european cars at taxpayer expense.,TRUE,0
"aclu florida says 13,000 floridians are able to vote -- but their governor wont tell them.",FALSE,1
aclu florida says florida has the most errors and exonerations from death row.,TRUE,0
aclu florida says there are a larger number of shark attacks in florida than there are cases of voter fraud.,TRUE,0
"aclu georgia foundation says in the last 15 years, weve witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.",TRUE,0
aclu north carolina says proposed nclaw for body camera footage gives police broad authority to keep video footage secret even from individuals who are filmed.,TRUE,0
actionaid k says malawi has just 300 doctors for 16 million people.,TRUE,0
actionaid k says tax dodging costs developing countries $200 billion every year.,TRUE,0
"adam hasner says crist sent his ""top policy staffer to the house committee to testify in support of the proposal,"" then vetoed the bill.",TRUE,0
"adam hasner says earlier this year, the head of the congressional budget office testified before congress that implementation of obamacare would cost 800,000 jobs.",TRUE,0
adam hasner says george lemieux even compared marco rubio to barack obama.,TRUE,0
adam hasner says george lemieux falsely attacked marco rubio.,TRUE,0
adam hasner says george lemieux voted against the majority of republicans and joined with democrats to create a task force for responsible fiscal action that looks strikingly similar to the super committee now being set up in washington to justify massive tax hikes.,TRUE,0
adam hasner says i sponsored and was the co-sponsor of the only legislation that ever passed that had e-verify provisions in it back in 2010 when i served in the legislature.,FALSE,1
"adam hasner says in a lawsuit between private citizens, a florida judge announced the decision was going to be based on islamic law.",TRUE,0
"adam hasner says lois frankel spent over $13,000 in taxpayer money on a marble shower in a private bathroom with her own toilet.",TRUE,0
adam hasner says obama-nelson economic record: job creation ... at slowest post-recession rate since great depression.,TRUE,0
adam hasner says president obama decided not to meet with prime minister benjamin netanyahu in new york.,TRUE,0
"adam hasner says scary fact about our national debt. in 1791 it was $75 million. today, it rises by that amount in about an hour.",TRUE,0
"adam hasner says while she was mayor, lois frankel took a police helicopter ride to go to a dinner party.",TRUE,0
adam kinzinger says rand paulhas put out budgets to cut the military in half.,FALSE,1
"adam kinzinger says since debbie halvorson has been in politics, illinois has lost hundreds of thousands of jobs.",TRUE,0
